Eventi da inserire - dev
Id;EventName;Description;Category;StartDate;EndDate;Link;HighlightEvent;Creator;CreatorLogo;TopImage;BottomImage;Mode;SdgImage;SdgTag;Region;Address;Latitude;Longitude
;Gruppo Sociale e Missionario San Giorgio di Poleo Odv;ODV onlus oltre 100 associati avente scopo di: valorizzazione della persona, sostegno e partecipazione alla progettualità sul territorio.;2;;;https://www.gsmsangiorgio.com/;;;;https://www.gsmsangiorgio.com/wp-content/uploads/2022/02/Progetto-senza-titolo-32-300x300.png;https://www.gsmsangiorgio.com/wp-content/uploads/2021/03/cropped-san-giorgio-odv-2.jpg;In presenza;11;;;Via Falgare 35 - 36015 Schio (VI);45,7256857;11,3310074
;Fondazione Capta Onlus;Siamo un gruppo di psicologi e volontari che lavora per promuovere la crescita personale e la cura delle relazioni nella comunità.;2;;;https://www.centrocapta.it/;;;;https://www.centrocapta.it/wp-content/uploads/2016/12/logo-firma.png;https://www.centrocapta.it/wp-content/uploads/2021/04/Progetto-senza-titolo-24.png;In presenza;11;;;Capta Onlus, Strada Padana Superiore vs Verona, 137, 36100 Vicenza;45,5454787;11,5354214
;Lugar del Sol ODV;Sostegno a progetti di solidarietà in favore di minori, con attenzione verso l'aspetto formativo - attività localizzate in Argentina, e a Verona;2;;;https://italianonprofit.it/scheda-ente/lugar-del-sol-odv/;;;;;;In presenza;11;;;Verona, VR;45,4383842;10,9916215
;SFC - Surgery for Children Onlus;"Surgery for Children riunisce medici e infermieri volontari per promuovere l'assistenza chirurgica pediatrica elettiva in paesi con ""scarse risorse"".";2;;;https://www.surgeryforchildren.org/;;;;https://www.surgeryforchildren.org/wp-content/uploads/2021/06/surgery-for-children-team-1.jpg;https://www.surgeryforchildren.org/wp-content/uploads/2020/12/surgery-for-children-odv-logo.png;In presenza;11;;;Via Lago di Pusiano, 1, 36100 Vicenza VI;45,5733424;11,5440128
;Percorsi Solidali Onlus;Persegue finalità di solidarietà sociale, volte alla valorizzazione della persona e della famiglia con particolare attenzione agli emarginati.;2;;;https://www.percorsisolidali.org/;;;;https://www.percorsisolidali.org/securitySite/wp-content/uploads/2016/06/PremaVasamDoveAmoreeSpereanzaSonoDiCasa.jpg;https://www.percorsisolidali.org/securitySite/wp-content/uploads/2022/11/percorsi-solidali-associazione-breganze.png;In presenza;11;;;Via Aldo Moro 10 - 36042 Breganze (VI);45,7029999;11,5735542
;Fondazione Fratelli Dimenticati;Nasce nel 1987 per volontà di Padre Antonio Alessi, Salesiano, per aiutare bambini, uomini, donne invisibili in India, Nepal, Africa e Centro America.;2;;;https://fratellidimenticati.it/;;;;https://fratellidimenticati.it/wp-content/uploads/2021/04/sostegno-1-e1619096834973-1688x1080.jpg;https://fratellidimenticati.it/wp-content/uploads/2019/03/logo-alt.png;In presenza;11;;;Via Padre Nicolini 16/1 - 35013 Cittadella (PD);45,62255;11,7918996
;Il Melograno Odv;Organizzazione di volontariato operante in favore di persone o famiglie versanti in stato di perdurante disagio fisico, psicologico o economico.;2;;;https://ilmelogranoodv.org/;;;;https://ilmelogranoodv.org/wp-content/uploads/2022/04/1-1.jpg;https://ilmelogranoodv.org/wp-content/uploads/2022/08/mel2-1.png;In presenza;11;;;Via Donegal, 8 31040 Cessalto (Tv);45,7131768;12,615462
;"Associazione Amici dello Stato Brasiliano Espirito Santo
Centro di Collaborazione Comunitaria";Programmi per lo sviluppo di comunità rurali e urbane in Africa e America Latina. In Italia è impegnata nell'Educazione alla Cittadinanza Globale.;2;;;https://www.aesccc.org/;;;;https://www.aesccc.org/wp-content/uploads/2022/02/COPERTINA-4-e1652903349639.jpg;https://www.aesccc.org/wp-content/uploads/2022/01/AESLogoODV.png;In presenza;11;;;"Piazza Caduti della Resistenza, 4
35138 Padova (PD) - Italia";45,4080903;11,8564498
;Volontariato in Rete Federazione Provinciale di Vicenza;L'Associazione Volontariato in Rete è l'Ente Gestore del CSV di Vicenza e si impegna a rappresentare le OdV della provincia.;2;;;https://www.volontariatoinrete.org/portale_3/;;;;https://www.volontariatoinrete.org/portale_3/wp-content/uploads/2017/05/lo.png;;In presenza;11;;;"Via Compans, 3
36010 Carré, Vicenza (VI)";45,7530805;11,4592684
;Fondazione Tina Anselmi;Fondazione di Comunità della provincia di Treviso che si occupa di fragilità, Progetti di Vita e nuovi servizi residenziali e di welfare;2;;;https://fondazionetinaanselmi.org/;;;;https://fondazionetinaanselmi.org/wp-content/uploads/2022/12/Logo-Fondazione-Tina-Anselmi-72dpi.png;;In presenza;11;;;VIALE BRIGATA CESARE BATTISTI 26 - 31033 CASTELFRANCO VENETO (TV);45,6690969;11,9334686
